fecha;nombre_tienda;factor;metodo_pago_limpio;moneda;total_transacciones;total_monto_sistema;MONTO SISTEMA USD;total_monto_auditado;MONTO AUDITADO USD
1/7/2026;[ ADS - TCY ] - AEDOS TOCUYITO;633,3644;PAGO MOVIL;VES;10;24.970,01;39,42;24.970,01;39,42
1/7/2026;[ BCO ] - BOCONO;633,3644;BIOPAGO;VES;19;181.902,45;287,2;181.902,44;287,2
1/7/2026;[ BJM ] - BEJUMA;633,3644;BIOPAGO;VES;5;74.167,03;117,1;74.167,03;117,1
1/7/2026;[ BRC ] - BARRANCAS;633,3644;PUNTO DE VENTA;VES;5;94.409,30;149,06;94.409,30;149,06
1/7/2026;[ BTA ] - BARUTA;633,3644;BIOPAGO;VES;10;101.813,26;160,75;120.814,13;190,75
1/7/2026;[ BTA ] - BARUTA;633,3644;PAGO MOVIL;VES;6;43.501,30;68,68;22.834,05;36,05
1/7/2026;[ BVC ] - BAZAR VALENCIA CANGURO;633,3644;PAGO MOVIL;VES;1;27.741,36;43,8;27.741,36;43,8
1/7/2026;[ BZD ] - BAZAR 2;633,3644;EFECTIVO BS;VES;7;10.747,18;16,97;10.750,00;16,97
1/7/2026;[ BZD ] - BAZAR 2;633,3644;PUNTO DE VENTA;VES;3;22.737,78;35,9;22.737,78;35,9
1/7/2026;[ CAT ] - CATIA;633,3644;BIOPAGO;VES;33;389.119,83;614,37;389.119,83;614,37
1/7/2026;[ CCA ] - CENTRO COMERCIAL AVIADORES;633,3644;BIOPAGO;VES;6;36.735,26;58;36.735,27;58
1/7/2026;[ CCA ] - CENTRO COMERCIAL AVIADORES;633,3644;EFECTIVO BS;VES;1;30.000,00;47,37;30.000,00;47,37
1/7/2026;[ CCB ] - CALLE CAMEJO BARINAS;633,3644;PUNTO DE VENTA;VES;1;5.066,98;8;5.066,98;8
1/7/2026;[ CDL ] - LA CANDELARIA;633,3644;PUNTO DE VENTA;VES;2;19.634,30;31;19.634,30;31
1/7/2026;[ CHI ] - CHIVACOA;633,3644;BIOPAGO;VES;17;134.159,25;211,82;134.159,23;211,82
1/7/2026;[ CHV ] - CHARALLAVE;633,3644;PUNTO DE VENTA;VES;4;460.455,86;727;460.455,85;727
1/7/2026;[ CLP ] - CATIA LIFE PHONE;633,3644;BIOPAGO;VES;23;490.174,39;773,92;494.607,93;780,92
1/7/2026;[ CLP ] - CATIA LIFE PHONE;633,3644;EFECTIVO BS;VES;4;24.282,18;38,34;19.910,00;31,44
1/7/2026;[ ANT ] - ANTIMANO;633,3644;PAGO MOVIL;VES;2;24.067,85;38;24.067,84;38
1/7/2026;[ BAC ] - BUENOS AIRES CANGURO;633,3644;PUNTO DE VENTA;VES;10;85.323,02;134,71;88.438,07;139,63
1/7/2026;[ BCC ] - BISCUCUY;633,3644;PAGO MOVIL;VES;1;1.773,42;2,8;1.773,42;2,8
1/7/2026;[ BCD ] - BARINAS CC DORADO;633,3644;PUNTO DE VENTA;VES;17;208.173,32;328,68;208.173,33;328,68
1/7/2026;[ BCN ] - BARCELONA;633,3644;EFECTIVO BS;VES;4;10.151,75;16,03;10.150,00;16,03
1/7/2026;[ BCO ] - BOCONO;633,3644;PAGO MOVIL;VES;7;98.488,23;155,5;98.488,24;155,5
1/7/2026;[ BJM ] - BEJUMA;633,3644;EFECTIVO BS;VES;1;3.166,76;5;3.180,00;5,02
1/7/2026;[ BTA ] - BARUTA;633,3644;PUNTO DE VENTA;VES;34;563.637,31;889,91;599.739,13;946,91
1/7/2026;[ BVC ] - BAZAR VALENCIA CANGURO;633,3644;PUNTO DE VENTA;VES;1;8.867,10;14;8.867,10;14
1/7/2026;[ BZT ] - BAZAR 3;633,3644;BIOPAGO;VES;11;153.971,33;243,1;153.945,33;243,06
1/7/2026;[ BZU ] - BAZAR 1;633,3644;PAGO MOVIL;VES;4;79.810,37;126,01;79.810,37;126,01
1/7/2026;[ BZU ] - BAZAR 1;633,3644;PUNTO DE VENTA;VES;17;390.247,66;616,15;390.247,66;616,15
1/7/2026;[ CAT ] - CATIA;633,3644;EFECTIVO BS;VES;8;159.299,06;251,51;31.580,00;49,86
1/7/2026;[ CAT ] - CATIA;633,3644;PUNTO DE VENTA;VES;2;8.233,74;13;8.233,74;13
1/7/2026;[ CBM ] - CABIMAS;633,3644;PUNTO DE VENTA;VES;13;152.640,95;241;152.640,94;241
1/7/2026;[ CBQ ] - CHABASQUEN;633,3644;EFECTIVO BS;VES;1;4.000,01;6,32;4.000,00;6,32
1/7/2026;[ CBR ] - CABUDARE;633,3644;BIOPAGO;VES;13;88.677,48;140,01;88.677,47;140,01
1/7/2026;[ CBV ] - CIUDAD BOLIVAR;633,3644;PAGO MOVIL;VES;1;8.867,10;14;8.867,10;14
1/7/2026;[ CCA ] - CENTRO COMERCIAL AVIADORES;633,3644;PAGO MOVIL;VES;1;5.066,98;8;5.066,98;8
1/7/2026;[ CCB ] - CALLE CAMEJO BARINAS;633,3644;PUNTO DE VENTA;VES;22;348.553,22;550,32;348.553,22;550,32
1/7/2026;[ CCB ] - CALLE CAMEJO BARINAS;633,3644;PAGO MOVIL;VES;3;27.108,00;42,8;27.108,00;42,8
1/7/2026;[ CCM ] - CENTRO COMERCIAL METROCENTER;633,3644;PAGO MOVIL;VES;14;154.572,84;244,05;158.373,04;250,05
1/7/2026;[ CCT ] - CC CIUDAD TAMANACO;633,3644;PUNTO DE VENTA;VES;22;300.848,15;475;285.026,81;450,02
1/7/2026;[ CDL ] - LA CANDELARIA;633,3644;BIOPAGO;VES;24;222.868,33;351,88;222.868,33;351,88
1/7/2026;[ CHI ] - CHIVACOA;633,3644;PAGO MOVIL;VES;8;131.319,62;207,34;131.319,62;207,34
1/7/2026;[ CHV ] - CHARALLAVE;633,3644;PUNTO DE VENTA;VES;1;4.750,23;7,5;4.750,23;7,5
1/7/2026;[ ANT ] - ANTIMANO;633,3644;BIOPAGO;VES;14;107.184,26;169,23;107.184,25;169,23
1/7/2026;[ ANT ] - ANTIMANO;633,3644;PUNTO DE VENTA;VES;2;6.333,52;10;6.333,52;10
1/7/2026;[ ATV ] - ALTA VISTA;633,3644;EFECTIVO BS;VES;1;3.420,17;5,4;3.420,00;5,4
1/7/2026;[ BCO ] - BOCONO;633,3644;PUNTO DE VENTA;VES;3;10.653,49;16,82;10.653,50;16,82
1/7/2026;[ BJM ] - BEJUMA;633,3644;PAGO MOVIL;VES;3;54.342,67;85,8;54.342,66;85,8
1/7/2026;[ BTA ] - BARUTA;633,3644;PUNTO DE VENTA;VES;1;3.166,76;5;3.166,76;5
1/7/2026;[ BZC ] - BAZAR 4;633,3644;BIOPAGO;VES;5;93.035,15;146,89;93.035,15;146,89
1/7/2026;[ BZD ] - BAZAR 2;633,3644;BIOPAGO;VES;11;241.502,23;381,3;241.532,27;381,35
1/7/2026;[ BZT ] - BAZAR 3;633,3644;PUNTO DE VENTA;VES;4;72.868,70;115,05;72.868,70;115,05
1/7/2026;[ CAT ] - CATIA;633,3644;PAGO MOVIL;VES;15;421.250,73;665,1;421.178,98;664,99
1/7/2026;[ CBR ] - CABUDARE;633,3644;PAGO MOVIL;VES;3;10.779,93;17,02;10.779,93;17,02
1/7/2026;[ CCO ] - CAICARA DEL ORINOCO;633,3644;PUNTO DE VENTA;VES;15;323.712,61;511,1;323.712,60;511,1
1/7/2026;[ CDL ] - LA CANDELARIA;633,3644;EFECTIVO BS;VES;2;6.967,01;11;7.000,00;11,05
1/7/2026;[ CHA ] - CHACAO;633,3644;BIOPAGO;VES;6;68.878,70;108,75;68.878,69;108,75
1/7/2026;[ CJP ] - CINCO DE JULIO;633,3644;BIOPAGO;VES;10;271.605,72;428,83;271.605,72;428,83
1/7/2026;[ CJP ] - CINCO DE JULIO;633,3644;PAGO MOVIL;VES;4;19.007,27;30,01;19.007,26;30,01
1/7/2026;[ CJP ] - CINCO DE JULIO;633,3644;PUNTO DE VENTA;VES;16;267.843,60;422,89;267.843,59;422,89
1/7/2026;[ CLL ] - CALLAO;633,3644;EFECTIVO BS;VES;18;107.855,32;170,29;100.900,00;159,31
1/7/2026;[ CLL ] - CALLAO;633,3644;PUNTO DE VENTA;VES;5;62.675,59;98,96;62.675,57;98,96
1/7/2026;[ CLP ] - CATIA LIFE PHONE;633,3644;PUNTO DE VENTA;VES;33;1.077.562,30;1.701,33;1.077.562,30;1.701,33
1/7/2026;[ ANT ] - ANTIMANO;633,3644;PUNTO DE VENTA;VES;1;5.066,98;8;5.066,98;8
1/7/2026;[ ATV ] - ALTA VISTA;633,3644;PAGO MOVIL;VES;12;151.950,77;239,91;164.617,96;259,91
1/7/2026;[ BCC ] - BISCUCUY;633,3644;BIOPAGO;VES;3;11.400,62;18;11.400,62;18
1/7/2026;[ BJM ] - BEJUMA;633,3644;PUNTO DE VENTA;VES;16;291.347,81;460;291.347,83;460
1/7/2026;[ BNS ] - BARINAS SHOP;633,3644;BIOPAGO;VES;28;342.212,93;540,31;342.212,94;540,31
1/7/2026;[ BRC ] - BARRANCAS;633,3644;PUNTO DE VENTA;VES;1;1.900,09;3;1.900,09;3
1/7/2026;[ BTA ] - BARUTA;633,3644;PUNTO DE VENTA;VES;24;245.112,28;387;245.112,30;387
1/7/2026;[ BZC ] - BAZAR 4;633,3644;PUNTO DE VENTA;VES;14;108.197,77;170,83;108.197,77;170,83
1/7/2026;[ BZD ] - BAZAR 2;633,3644;PUNTO DE VENTA;VES;9;161.128,03;254,4;161.128,03;254,4
1/7/2026;[ BZU ] - BAZAR 1;633,3644;BIOPAGO;VES;7;154.965,33;244,67;154.965,33;244,67
1/7/2026;[ CAT ] - CATIA;633,3644;PUNTO DE VENTA;VES;124;1.591.168,26;2.512,25;1.715.232,50;2.708,13
1/7/2026;[ CBQ ] - CHABASQUEN;633,3644;BIOPAGO;VES;2;2.900,11;4,58;2.900,09;4,58
1/7/2026;[ CCA ] - CENTRO COMERCIAL AVIADORES;633,3644;PUNTO DE VENTA;VES;26;177.655,61;280,5;177.655,61;280,5
1/7/2026;[ CJP ] - CINCO DE JULIO;633,3644;PUNTO DE VENTA;VES;2;6.973,41;11,01;6.973,40;11,01
1/7/2026;[ CLB ] - CALABOZO;633,3644;PAGO MOVIL;VES;5;85.567,47;135,1;85.567,46;135,1
1/7/2026;[ CLB ] - CALABOZO;633,3644;PUNTO DE VENTA;VES;1;19.000,87;30;0;0
1/7/2026;[ CLB ] - CALABOZO;633,3644;PUNTO DE VENTA;VES;5;15.796,02;24,94;34.486,64;54,45
1/7/2026;[ CMC ] - CUA;633,3644;BIOPAGO;VES;24;208.464,29;329,14;208.464,33;329,14
1/7/2026;[ CMC ] - CUA;633,3644;PUNTO DE VENTA;VES;1;15.834,11;25;15.834,11;25
1/7/2026;[ BTA ] - BARUTA;633,3644;PAGO MOVIL;VES;1;5.066,98;8;5.066,98;8
1/7/2026;[ BTA ] - BARUTA;633,3644;PUNTO DE VENTA;VES;1;17.100,84;27;17.100,84;27
1/7/2026;[ BZC ] - BAZAR 4;633,3644;PAGO MOVIL;VES;4;55.862,80;88,2;55.862,80;88,2
1/7/2026;[ CAG ] - CAGUA;633,3644;EFECTIVO BS;VES;1;34.835,04;55;34.840,00;55,01
1/7/2026;[ CAG ] - CAGUA;633,3644;PAGO MOVIL;VES;1;6.333,64;10;6.333,64;10
1/7/2026;[ CAG ] - CAGUA;633,3644;PUNTO DE VENTA;VES;1;5.066,85;8;5.066,85;8
1/7/2026;[ CAT ] - CATIA;633,3644;PAGO MOVIL;VES;2;11.608,71;18,33;11.608,71;18,33
1/7/2026;[ CCM ] - CENTRO COMERCIAL METROCENTER;633,3644;EFECTIVO BS;VES;6;34.317,20;54,18;34.500,00;54,47
1/7/2026;[ CEN - SWM ] - CENDIS SHOWROOM;633,3644;PUNTO DE VENTA;VES;6;92.471,08;146;92.471,09;146
1/7/2026;[ CHA ] - CHACAO;633,3644;PAGO MOVIL;VES;2;15.434,33;24,37;15.434,33;24,37
1/7/2026;[ CHA ] - CHACAO;633,3644;PAGO MOVIL;VES;3;10.133,83;16;10.133,83;16
1/7/2026;[ CHV ] - CHARALLAVE;633,3644;EFECTIVO BS;VES;4;32.520,60;51,35;32.530,00;51,36
1/7/2026;[ CHV ] - CHARALLAVE;633,3644;PAGO MOVIL;VES;3;33.200,84;52,42;33.200,81;52,42
1/7/2026;[ CLB ] - CALABOZO;633,3644;PUNTO DE VENTA;VES;1;7.600,37;12;7.600,37;12
1/7/2026;[ CLB ] - CALABOZO;633,3644;PUNTO DE VENTA;VES;40;414.284,48;654,1;414.284,48;654,1
1/7/2026;[ CLT ] - COLONIA TOVAR;633,3644;PAGO MOVIL;VES;5;139.720,19;220,6;139.817,91;220,75
1/7/2026;[ BCN ] - BARCELONA;633,3644;PUNTO DE VENTA;VES;0;0;0;10.767,19;17
1/7/2026;[ BCC ] - BISCUCUY;633,3644;PUNTO DE VENTA;VES;21;395.187,97;623,95;395.187,97;623,95
1/7/2026;[ CAG ] - CAGUA;633,3644;BIOPAGO;VES;4;63.349,30;100,02;63.349,30;100,02
1/7/2026;[ CCO ] - CAICARA DEL ORINOCO;633,3644;PUNTO DE VENTA;VES;1;8.867,10;14;8.867,10;14
1/7/2026;[ CLB ] - CALABOZO;633,3644;EFECTIVO BS;VES;1;5.066,98;8;5.100,00;8,05
1/7/2026;[ CLB ] - CALABOZO;633,3644;PUNTO DE VENTA;VES;5;54.976,16;86,8;54.976,15;86,8
